,2006-10-01 to 2007-09-29,2007-09-30 to 2008-09-27,2008-09-28 to 2009-09-26,2008-09-28 to 2008-12-27,2008-12-28 to 2009-03-28,2009-03-29 to 2009-06-27,2009-06-28 to 2009-09-26,2009-09-27 to 2009-12-26,2009-09-27 to 2010-09-25,2009-12-27 to 2010-03-27,2010-03-28 to 2010-06-26,2010-06-27 to 2010-09-25,2010-09-26 to 2010-12-25,2010-09-26 to 2011-09-24,2010-12-26 to 2011-03-26,2011-03-27 to 2011-06-25,2011-06-26 to 2011-09-24,2011-09-25 to 2011-12-31,2011-09-25 to 2012-09-29,2012-01-01 to 2012-03-31,2012-04-01 to 2012-06-30,2012-07-01 to 2012-09-29,2012-09-30 to 2012-12-29,2012-09-30 to 2013-09-28,2012-12-30 to 2013-03-30,2013-03-31 to 2013-06-29,2013-06-30 to 2013-09-28,2013-09-29 to 2013-12-28,2013-09-29 to 2014-09-27,2013-12-29 to 2014-03-29,2014-03-30 to 2014-06-28,2014-06-29 to 2014-09-27,2014-09-28 to 2014-12-27,2014-09-28 to 2015-09-26,2014-12-28 to 2015-03-28,2015-03-29 to 2015-06-27,2015-06-28 to 2015-09-26,2015-09-27 to 2015-12-26,2015-09-27 to 2016-09-24,2015-12-27 to 2016-03-26,2016-03-27 to 2016-06-25,2016-06-26 to 2016-09-24,2016-09-25 to 2016-12-31,2016-09-25 to 2017-09-30,2017-01-01 to 2017-04-01,2017-04-02 to 2017-07-01,2017-07-02 to 2017-09-30,2017-10-01 to 2017-12-30,2017-10-01 to 2018-09-29,2017-12-31 to 2018-03-31,2018-04-01 to 2018-06-30,2018-07-01 to 2018-09-29,2018-09-30 to 2018-12-29,2018-09-30 to 2019-09-28,2018-12-30 to 2019-03-30,2019-03-31 to 2019-06-29,2019-06-30 to 2019-09-28,2019-09-29 to 2019-12-28,2019-09-29 to 2020-09-26,2019-12-29 to 2020-03-28,2020-03-29 to 2020-06-27,2020-06-28 to 2020-09-26,2020-09-27 to 2021-09-25,2021-09-26 to 2022-09-24,2022-09-25 to 2023-09-30
WeightedAverageNumberOfSharesOutstandingBasic(in Shares),864595000.0,881592000.0,893016000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfGoodsAndServicesSold(in iso4217_USD),,,,,,,,,39541000000.0,,,,,64431000000.0,,,,,87846000000.0,,,,,106606000000.0,,,,,112258000000.0,,,,,140089000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic(in iso4217_USD_per_shares),,,,2.0,1.0,2.0,2.0,3.0,15.0,3.0,3.0,4.0,6.0,28.0,6.0,7.0,7.0,14.0,44.0,12.0,9.0,8.0,13.0,40.0,10.0,7.0,8.0,2.0,6.0,1.0,1.0,1.0,3.0,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareDiluted(in iso4217_USD_per_shares),,,,2.0,1.0,2.0,2.0,3.0,15.0,3.0,3.0,4.0,6.0,27.0,6.0,7.0,7.0,13.0,44.0,12.0,9.0,8.0,13.0,39.0,10.0,7.0,8.0,2.0,6.0,1.0,1.0,1.0,3.0,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit(in iso4217_USD),,,,4507000000.0,3627000000.0,3983000000.0,5105000000.0,6411000000.0,25684000000.0,5625000000.0,6136000000.0,7512000000.0,10298000000.0,43818000000.0,10218000000.0,11922000000.0,11380000000.0,20703000000.0,68662000000.0,18564000000.0,14994000000.0,14401000000.0,21060000000.0,64304000000.0,16349000000.0,13024000000.0,13871000000.0,21846000000.0,70537000000.0,17947000000.0,14735000000.0,16009000000.0,29741000000.0,93626000000.0,23656000000.0,19681000000.0,20548000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments(in iso4217_USD),,,,,,,,,18540000000.0,,,,,34205000000.0,,,,,55763000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit(in iso4217_USD),,,,,,,,,4527000000.0,,,,,8283000000.0,,,,,14030000000.0,,,,,13118000000.0,,,,,13973000000.0,,,,,19121000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeLoss(in iso4217_USD),,,,2255000000.0,1620000000.0,1828000000.0,2532000000.0,3378000000.0,14013000000.0,3074000000.0,3253000000.0,4308000000.0,6004000000.0,25922000000.0,5987000000.0,7308000000.0,6623000000.0,13064000000.0,41733000000.0,11622000000.0,8824000000.0,8223000000.0,13078000000.0,37037000000.0,9547000000.0,6900000000.0,7512000000.0,13072000000.0,39510000000.0,10223000000.0,7748000000.0,8467000000.0,18024000000.0,53394000000.0,13569000000.0,10677000000.0,11124000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NonoperatingIncomeExpense(in iso4217_USD),,,,,,,,,155000000.0,,,,,415000000.0,,,,,522000000.0,,,,,1156000000.0,,,,,980000000.0,,,,,1285000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpenses(in iso4217_USD),,,,,,,,,7299000000.0,,,,,10028000000.0,,,,,13421000000.0,,,,,15305000000.0,,,,,18034000000.0,,,,,22396000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncomeLoss(in iso4217_USD),,,,,,,,,18385000000.0,,,,,33790000000.0,,,,,55241000000.0,,,,,48999000000.0,,,,,52503000000.0,,,,,71230000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResearchAndDevelopmentExpense(in iso4217_USD),,,,,,,,,1782000000.0,,,,,2429000000.0,,,,,3381000000.0,,,,,4475000000.0,,,,,6041000000.0,,,,,8067000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalesRevenueNet(in iso4217_USD),,,,11880000000.0,9084000000.0,9734000000.0,12207000000.0,15683000000.0,65225000000.0,13499000000.0,15700000000.0,20343000000.0,26741000000.0,108249000000.0,24667000000.0,28571000000.0,28270000000.0,46333000000.0,156508000000.0,39186000000.0,35023000000.0,35966000000.0,54512000000.0,170910000000.0,43603000000.0,35323000000.0,37472000000.0,57594000000.0,182795000000.0,45646000000.0,37432000000.0,42123000000.0,74599000000.0,233715000000.0,58010000000.0,49605000000.0,51501000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SellingGeneralAndAdministrativeExpense(in iso4217_USD),,,,,,,,,5517000000.0,,,,,7599000000.0,,,,,10040000000.0,,,,,10830000000.0,,,,,11993000000.0,,,,,14329000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding(in shares),,,,,,,,,924712000.0,,,,,936645000.0,,,,,945355000.0,,,,,931662000.0,,,,,6122663000.0,,,,,5793069000.0,,,,,5500281000.0,,,,,5251692000.0,,,,,5000109000.0,,,,,4648913000.0,,,,,17528214000.0,,,,16864919000.0,16325819000.0,15812547000.0
WeightedAverageNumberOfSharesOutstandingBasic(in shares),,,,,,,,,909461000.0,,,,,924258000.0,,,,,934818000.0,,,,,925331000.0,,,,,6085572000.0,,,,,5753421000.0,,,,,5470820000.0,,,,,5217242000.0,,,,,4955377000.0,,,,,4617834000.0,,,,,17352119000.0,,,,16701272000.0,16215963000.0,15744231000.0
CommonStockDividendsPerShareDeclared(in iso4217_USD_per_shares),,,,,,,,,,,,,,,,,,,2.0,,,,2.0,11.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest(in iso4217_USD),,,,,,,,,,,,,,,,,,,,,,,,50155000000.0,,,,,53483000000.0,,,,,72515000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalesRevenueNet(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75872000000.0,215639000000.0,50557000000.0,42358000000.0,46852000000.0,78351000000.0,229234000000.0,52896000000.0,45408000000.0,52579000000.0,,,,,,,,,,,,,,,,,,
CostOfGoodsAndServicesSold(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131376000000.0,,,,,141048000000.0,,,,,163756000000.0,,,,,161782000000.0,,,,,169559000000.0,,,,212981000000.0,223546000000.0,214137000000.0
GrossProfit(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30423000000.0,84263000000.0,19921000000.0,16106000000.0,17813000000.0,30176000000.0,88186000000.0,20591000000.0,17488000000.0,19931000000.0,33912000000.0,101839000000.0,23422000000.0,20421000000.0,24084000000.0,32031000000.0,98392000000.0,21821000000.0,20227000000.0,24313000000.0,35217000000.0,104956000000.0,22370000000.0,22680000000.0,24689000000.0,152836000000.0,170782000000.0,169148000000.0
ResearchAndDevelopmentExpense(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10045000000.0,,,,,11581000000.0,,,,,14236000000.0,,,,,16217000000.0,,,,,18752000000.0,,,,21914000000.0,26251000000.0,29915000000.0
SellingGeneralAndAdministrativeExpense(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14194000000.0,,,,,15261000000.0,,,,,16705000000.0,,,,,18245000000.0,,,,,19916000000.0,,,,21973000000.0,25094000000.0,24932000000.0
OperatingExpenses(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24239000000.0,,,,,26842000000.0,,,,,30941000000.0,,,,,34462000000.0,,,,,38668000000.0,,,,43887000000.0,51345000000.0,54847000000.0
OperatingIncomeLoss(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60024000000.0,,,,,61344000000.0,,,,,70898000000.0,,,,,63930000000.0,,,,,66288000000.0,,,,108949000000.0,119437000000.0,114301000000.0
NonoperatingIncomeExpense(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348000000.0,,,,,2745000000.0,,,,,2005000000.0,,,,,1807000000.0,,,,,803000000.0,,,,258000000.0,-334000000.0,-565000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61372000000.0,,,,,64089000000.0,,,,,72903000000.0,,,,,65737000000.0,,,,,67091000000.0,,,,109207000000.0,119103000000.0,113736000000.0
IncomeTaxExpenseBenefit(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15685000000.0,,,,,15738000000.0,,,,,13372000000.0,,,,,10481000000.0,,,,,9680000000.0,,,,14527000000.0,19300000000.0,16741000000.0
NetIncomeLoss(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18361000000.0,45687000000.0,10516000000.0,7796000000.0,9014000000.0,17891000000.0,48351000000.0,11029000000.0,8717000000.0,10714000000.0,20065000000.0,59531000000.0,13822000000.0,11519000000.0,14125000000.0,19965000000.0,55256000000.0,11561000000.0,10044000000.0,13686000000.0,22236000000.0,57411000000.0,11249000000.0,11253000000.0,12673000000.0,94680000000.0,99803000000.0,96995000000.0
EarningsPerShareBasic(in usdPerShare),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,1.0,1.0,1.0,3.0,9.0,2.0,1.0,2.0,3.0,12.0,2.0,2.0,2.0,4.0,11.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,5.0,6.0,6.0
EarningsPerShareDiluted(in usdPerShare),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,1.0,1.0,1.0,3.0,9.0,2.0,1.0,2.0,3.0,11.0,2.0,2.0,2.0,4.0,11.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,5.0,6.0,6.0
CommonStockDividendsPerShareDeclared(in usdPerShare),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
Revenues(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88293000000.0,265595000000.0,61137000000.0,53265000000.0,62900000000.0,,,,,,,,,,,,,
RevenueFromContractWithCustomerExcludingAssessedTax(in usd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84310000000.0,260174000000.0,58015000000.0,53809000000.0,64040000000.0,91819000000.0,274515000000.0,58313000000.0,59685000000.0,64698000000.0,365817000000.0,394328000000.0,383285000000.0
